id,number,side,move,fen
23018,17,white,e3,r2qkb1rpp1n1ppp2p1pn282QP42N1PNP1PPb2PBPR1B1K2R
23019,18,black,Be7,r2qk2rpp1nbppp2p1pn282QP42N1PNP1PPb2PBPR1B1K2R
23020,19,white,O-O,r2qk2rpp1nbppp2p1pn282QP42N1PNP1PPb2PBPR1B2RK1
23021,20,black,O-O,r2q1rk1pp1nbppp2p1pn282QP42N1PNP1PPb2PBPR1B2RK1
23022,21,white,a3,r2q1rk1pp1nbppp2p1pn282QP4P1N1PNP11Pb2PBPR1B2RK1
23023,22,black,a5,r2q1rk11p1nbppp2p1pn2p72QP4P1N1PNP11Pb2PBPR1B2RK1
23024,23,white,Qe2,r2q1rk11p1nbppp2p1pn2p73P4P1N1PNP11Pb1QPBPR1B2RK1
23025,24,black,Bg6,r2q1rk11p1nbppp2p1pnb1p73P4P1N1PNP11P2QPBPR1B2RK1
23026,25,white,e4,r2q1rk11p1nbppp2p1pnb1p73PP3P1N2NP11P2QPBPR1B2RK1
23027,26,black,Qb6,r4rk11p1nbppp1qp1pnb1p73PP3P1N2NP11P2QPBPR1B2RK1
23028,27,white,h3,r4rk11p1nbppp1qp1pnb1p73PP3P1N2NPP1P2QPB1R1B2RK1
23029,28,black,Qa6,r4rk11p1nbpppq1p1pnb1p73PP3P1N2NPP1P2QPB1R1B2RK1
23030,29,white,Qe3,r4rk11p1nbpppq1p1pnb1p73PP3P1N1QNPP1P3PB1R1B2RK1
23031,30,black,c5,r4rk11p1nbpppq3pnb1p1p53PP3P1N1QNPP1P3PB1R1B2RK1
23032,31,white,e5,r4rk11p1nbpppq3pnb1p1p1P33P4P1N1QNPP1P3PB1R1B2RK1
23033,32,black,Nd5,r4rk11p1nbpppq3p1b1p1pnP33P4P1N1QNPP1P3PB1R1B2RK1
23034,33,white,Nxd5,r4rk11p1nbpppq3p1b1p1pNP33P4P3QNPP1P3PB1R1B2RK1
23035,34,black,exd5,r4rk11p1nbpppq5b1p1ppP33P4P3QNPP1P3PB1R1B2RK1
23036,35,white,Bd2,r4rk11p1nbpppq5b1p1ppP33P4P3QNPP1P1B1PB1R4RK1
23037,36,black,Be4,r4rk11p1nbpppq7p1ppP33Pb3P3QNPP1P1B1PB1R4RK1
23038,37,white,Bc3,r4rk11p1nbpppq7p1ppP33Pb3P1B1QNPP1P3PB1R4RK1
23039,38,black,c4,r4rk11p1nbpppq7p2pP32pPb3P1B1QNPP1P3PB1R4RK1
23040,39,white,Ne1,r4rk11p1nbpppq7p2pP32pPb3P1B1Q1PP1P3PB1R3NRK1
23041,40,black,Bxg2,r4rk11p1nbpppq7p2pP32pP4P1B1Q1PP1P3Pb1R3NRK1
23042,41,white,Nxg2,r4rk11p1nbpppq7p2pP32pP4P1B1Q1PP1P3PN1R4RK1
23043,42,black,b5,r4rk13nbpppq7pp1pP32pP4P1B1Q1PP1P3PN1R4RK1
23044,43,white,f4,r4rk13nbpppq7pp1pP32pP1P2P1B1Q1PP1P4N1R4RK1
23045,44,black,Qh6,r4rk13nbppp7qpp1pP32pP1P2P1B1Q1PP1P4N1R4RK1
23046,45,white,Qf3,r4rk13nbppp7qpp1pP32pP1P2P1B2QPP1P4N1R4RK1
23047,46,black,b4,r4rk13nbppp7qp2pP31ppP1P2P1B2QPP1P4N1R4RK1
23048,47,white,Bd2,r4rk13nbppp7qp2pP31ppP1P2P4QPP1P1B2N1R4RK1
23049,48,black,Nb6,r4rk14bppp1n5qp2pP31ppP1P2P4QPP1P1B2N1R4RK1
23050,49,white,g4,r4rk14bppp1n5qp2pP31ppP1PP1P4Q1P1P1B2N1R4RK1
23051,50,black,Qc6,r4rk14bppp1nq5p2pP31ppP1PP1P4Q1P1P1B2N1R4RK1
23052,51,white,f5,r4rk14bppp1nq5p2pPP21ppP2P1P4Q1P1P1B2N1R4RK1
23053,52,black,f6,r4rk14b1pp1nq2p2p2pPP21ppP2P1P4Q1P1P1B2N1R4RK1
23054,53,white,Nf4,r4rk14b1pp1nq2p2p2pPP21ppP1NP1P4Q1P1P1B4R4RK1
23055,54,black,Rfc8,r1r3k14b1pp1nq2p2p2pPP21ppP1NP1P4Q1P1P1B4R4RK1
23056,55,white,exf6,r1r3k14b1pp1nq2P2p2p1P21ppP1NP1P4Q1P1P1B4R4RK1
23057,56,black,Bxf6,r1r3k16pp1nq2b2p2p1P21ppP1NP1P4Q1P1P1B4R4RK1
23058,57,white,Ne6,r1r3k16pp1nq1Nb2p2p1P21ppP2P1P4Q1P1P1B4R4RK1
23059,58,black,c3,r1r3k16pp1nq1Nb2p2p1P21p1P2P1P1p2Q1P1P1B4R4RK1
23060,59,white,bxc3,r1r3k16pp1nq1Nb2p2p1P21p1P2P1P1P2Q1P3B4R4RK1
23061,60,black,Nc4,r1r3k16pp2q1Nb2p2p1P21pnP2P1P1P2Q1P3B4R4RK1
23062,61,white,Bf4,r1r3k16pp2q1Nb2p2p1P21pnP1BP1P1P2Q1P8R4RK1
23063,62,black,Nxa3,r1r3k16pp2q1Nb2p2p1P21p1P1BP1n1P2Q1P8R4RK1
23064,63,white,g5,r1r3k16pp2q1Nb2p2p1PP11p1P1B2n1P2Q1P8R4RK1
23065,64,black,Bd8,r1rb2k16pp2q1N3p2p1PP11p1P1B2n1P2Q1P8R4RK1
23066,65,white,Be5,r1rb2k16pp2q1N3p2pBPP11p1P4n1P2Q1P8R4RK1
23067,66,black,Ra7,2rb2k1r5pp2q1N3p2pBPP11p1P4n1P2Q1P8R4RK1
23068,67,white,Qh5,2rb2k1r5pp2q1N3p2pBPPQ1p1P4n1P4P8R4RK1
23069,68,black,Nc4,2rb2k1r5pp2q1N3p2pBPPQ1pnP42P4P8R4RK1
23070,69,white,cxb4,2rb2k1r5pp2q1N3p2pBPPQ1PnP47P8R4RK1
23071,70,black,Nxe5,2rb2k1r5pp2q1N3p2pnPPQ1P1P47P8R4RK1
23072,71,white,dxe5,2rb2k1r5pp2q1N3p2pPPPQ1P67P8R4RK1
23073,72,black,Bb6+,2r3k1r5pp1bq1N3p2pPPPQ1P67P8R4RK1
23074,73,white,Kh1,2r3k1r5pp1bq1N3p2pPPPQ1P67P8R4R1K
23075,74,black,d4+,2r3k1r5pp1bq1N3p3PPPQ1P1p47P8R4R1K
23076,75,white,Qf3,2r3k1r5pp1bq1N3p3PPP11P1p45Q1P8R4R1K
23077,76,black,Qxf3+,2r3k1r5pp1b2N3p3PPP11P1p45q1P8R4R1K
23078,77,white,Rxf3,2r3k1r5pp1b2N3p3PPP11P1p45R1P8R6K
23079,78,black,Rc3,6k1r5pp1b2N3p3PPP11P1p42r2R1P8R6K
23080,79,white,Rff1,6k1r5pp1b2N3p3PPP11P1p42r4P8R4R1K
23081,80,black,d3,6k1r5pp1b2N3p3PPP11P62rp3P8R4R1K
23082,81,white,f6,6k1r5pp1b2NP2p3P1P11P62rp3P8R4R1K
23083,82,black,Rc6,6k1r5pp1br1NP2p3P1P11P63p3P8R4R1K
23084,83,white,Nxg7,6k1r5Np1br2P2p3P1P11P63p3P8R4R1K
23085,84,black,Rxg7,6k16rp1br2P2p3P1P11P63p3P8R4R1K
23086,85,white,fxg7,6k16Pp1br5p3P1P11P63p3P8R4R1K
23087,86,black,axb4,6k16Pp1br54P1P11p63p3P8R4R1K
23088,87,white,Rf6,6k16Pp1br2R24P1P11p63p3P8R6K
23089,88,black,Bd4,6k16Pp2r2R24P1P11p1b43p3P8R6K
23090,89,white,Ra8+,R5k16Pp2r2R24P1P11p1b43p3P87K
23091,90,black,Kxg7,R76kp2r2R24P1P11p1b43p3P87K
23092,91,white,Rxc6,R76kp2R54P1P11p1b43p3P87K
23093,92,black,d2,R76kp2R54P1P11p1b47P3p47K
23094,93,white,Rc7+,R72R3kp84P1P11p1b47P3p47K
23095,94,black,Kg6,R72R4p6k14P1P11p1b47P3p47K
23096,95,white,Rg8+,6R12R4p6k14P1P11p1b47P3p47K
23097,96,black,Kf5,6R12R4p84PkP11p1b47P3p47K
23098,97,white,Rf8+,5R22R4p84PkP11p1b47P3p47K
23099,98,black,Ke4,5R22R4p84P1P11p1bk37P3p47K
23100,99,white,Rf1,82R4p84P1P11p1bk37P3p45R1K
23101,100,black,Bxe5,82R4p84b1P11p2k37P3p45R1K
23102,101,white,Rc4+,87p84b1P11pR1k37P3p45R1K
23103,102,black,Kd3,87p84b1P11pR53k3P3p45R1K
23104,103,white,Rxb4,87p84b1P11R63k3P3p45R1K
23105,104,black,Bg3,87p86P11R63k2bP3p45R1K
23106,105,white,Kg2,87p86P11R63k2bP3p2K15R2
23107,106,black,Be1,87p86P11R63k3P3p2K14bR2
23108,107,white,Rb1,87p86P183k3P3p2K11R2bR2
23109,108,black,Bh4,87p86P17b3k3P3p2K11R3R2
23110,109,white,Rb3+,87p86P17b1R1k3P3p2K15R2
23111,110,black,Ke2,87p86P17b1R5P3pk1K15R2
23112,111,white,Rb5,87p81R4P17b7P3pk1K15R2
23113,112,black,Ke3,87p81R4P17b4k2P3p2K15R2
23114,113,white,Rd5,87p83R2P17b4k2P3p2K15R2
