id,number,side,move,fen
11435,41,white,Rbg5,4rr1kp1p2ppp1p1p3q6Rn2BPPp22P2P1PP1PQ1P1K6R1
11436,42,black,f6,4rr1kp1p3pp1p1p1p1q6Rn2BPPp22P2P1PP1PQ1P1K6R1
11437,43,white,R5g4,4rr1kp1p3pp1p1p1p1q7n2BPPpR12P2P1PP1PQ1P1K6R1
11438,44,black,g6,4rr1kp1p4p1p1p1ppq7n2BPPpR12P2P1PP1PQ1P1K6R1
11439,45,white,Bd3,4rr1kp1p4p1p1p1ppq7n3PPpR12PB1P1PP1PQ1P1K6R1
11440,46,black,Re7,5r1kp1p1r2p1p1p1ppq7n3PPpR12PB1P1PP1PQ1P1K6R1
11441,47,white,c4,5r1kp1p1r2p1p1p1ppq7n2PPPpR13B1P1PP1PQ1P1K6R1
11442,48,black,Ng7,5r1kp1p1r1np1p1p1ppq82PPPpR13B1P1PP1PQ1P1K6R1
11443,49,white,c3,5r1kp1p1r1np1p1p1ppq82PPPpR12PB1P1PP2Q1P1K6R1
11444,50,black,Ne6,5r1kp1p1r2p1p1pnppq82PPPpR12PB1P1PP2Q1P1K6R1
11445,51,white,Bf1,5r1kp1p1r2p1p1pnppq82PPPpR12P2P1PP2Q1P1K5BR1
11446,52,black,f5,5r1kp1p1r2p1p1pn1pq5p22PPPpR12P2P1PP2Q1P1K5BR1
11447,53,white,R4g2,5r1kp1p1r2p1p1pn1pq5p22PPPp22P2P1PP2Q1PRK5BR1
11448,54,black,Rf6,7kp1p1r2p1p1pnrpq5p22PPPp22P2P1PP2Q1PRK5BR1
11449,55,white,Bd3,7kp1p1r2p1p1pnrpq5p22PPPp22PB1P1PP2Q1PRK6R1
11450,56,black,g5,7kp1p1r2p1p1pnr1q5pp12PPPp22PB1P1PP2Q1PRK6R1
11451,57,white,Rh1,7kp1p1r2p1p1pnr1q5pp12PPPp22PB1P1PP2Q1PRK7R
11452,58,black,g4,7kp1p1r2p1p1pnr1q5p22PPPpp12PB1P1PP2Q1PRK7R
11453,59,white,Be2,7kp1p1r2p1p1pnr1q5p22PPPpp12P2P1PP2QBPRK7R
11454,60,black,Ng5,7kp1p1r2p1p1p1r1q5pn12PPPpp12P2P1PP2QBPRK7R
11455,61,white,fxg4,7kp1p1r2p1p1p1r1q5pn12PPPpP12P4PP2QBPRK7R
11456,62,black,f3,7kp1p1r2p1p1p1r1q5pn12PPP1P12P2p1PP2QBPRK7R
11457,63,white,Rg3,7kp1p1r2p1p1p1r1q5pn12PPP1P12P2pRPP2QBP1K7R
11458,64,black,fxe2,7kp1p1r2p1p1p1r1q5pn12PPP1P12P3RPP2QpP1K7R
11459,1,white,e4,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR
11460,2,black,e5,rnbqkbnrpppp1ppp84p34P38PPPP1PPPRNBQKBNR
11461,3,white,Nf3,rnbqkbnrpppp1ppp84p34P35N2PPPP1PPPRNBQKB1R
11462,4,black,Nc6,r1bqkbnrpppp1ppp2n54p34P35N2PPPP1PPPRNBQKB1R
11463,5,white,Bb5,r1bqkbnrpppp1ppp2n51B2p34P35N2PPPP1PPPRNBQK2R
11464,6,black,a6,r1bqkbnr1ppp1pppp1n51B2p34P35N2PPPP1PPPRNBQK2R
11465,7,white,Bxc6,r1bqkbnr1ppp1pppp1B54p34P35N2PPPP1PPPRNBQK2R
11466,8,black,dxc6,r1bqkbnr1pp2pppp1p54p34P35N2PPPP1PPPRNBQK2R
11467,9,white,d4,r1bqkbnr1pp2pppp1p54p33PP35N2PPP2PPPRNBQK2R
11468,10,black,exd4,r1bqkbnr1pp2pppp1p583pP35N2PPP2PPPRNBQK2R
11469,11,white,Qxd4,r1bqkbnr1pp2pppp1p583QP35N2PPP2PPPRNB1K2R
11470,12,black,Bg4,r2qkbnr1pp2pppp1p583QP1b15N2PPP2PPPRNB1K2R
11471,13,white,Nc3,r2qkbnr1pp2pppp1p583QP1b12N2N2PPP2PPPR1B1K2R
11472,14,black,Qxd4,r3kbnr1pp2pppp1p583qP1b12N2N2PPP2PPPR1B1K2R
11473,15,white,Nxd4,r3kbnr1pp2pppp1p583NP1b12N5PPP2PPPR1B1K2R
11474,16,black,O-O-O,2kr1bnr1pp2pppp1p583NP1b12N5PPP2PPPR1B1K2R
11475,17,white,Be3,2kr1bnr1pp2pppp1p583NP1b12N1B3PPP2PPPR3K2R
11476,18,black,Bb4,2kr2nr1pp2pppp1p581b1NP1b12N1B3PPP2PPPR3K2R
11477,19,white,Ne2,2kr2nr1pp2pppp1p581b2P1b12N1B3PPP1NPPPR3K2R
11478,20,black,Bxe2,2kr2nr1pp2pppp1p581b2P32N1B3PPP1bPPPR3K2R
11479,21,white,Kxe2,2kr2nr1pp2pppp1p581b2P32N1B3PPP1KPPPR6R
11480,22,black,Bxc3,2kr2nr1pp2pppp1p584P32b1B3PPP1KPPPR6R
11481,23,white,bxc3,2kr2nr1pp2pppp1p584P32P1B3P1P1KPPPR6R
11482,24,black,Nf6,2kr3r1pp2pppp1p2n284P32P1B3P1P1KPPPR6R
11483,25,white,f3,2kr3r1pp2pppp1p2n284P32P1BP2P1P1K1PPR6R
11484,26,black,Nd7,2kr3r1ppn1pppp1p584P32P1BP2P1P1K1PPR6R
11485,27,white,Rad1,2kr3r1ppn1pppp1p584P32P1BP2P1P1K1PP3R3R
11486,28,black,Ne5,2kr3r1pp2pppp1p54n34P32P1BP2P1P1K1PP3R3R
11487,29,white,Rd4,2kr3r1pp2pppp1p54n33RP32P1BP2P1P1K1PP7R
11488,30,black,b6,2kr3r2p2pppppp54n33RP32P1BP2P1P1K1PP7R
11489,31,white,f4,2kr3r2p2pppppp54n33RPP22P1B3P1P1K1PP7R
11490,32,black,Nd7,2kr3r2pn1pppppp583RPP22P1B3P1P1K1PP7R
11491,33,white,Rhd1,2kr3r2pn1pppppp583RPP22P1B3P1P1K1PP3R4
11492,34,black,c5,2kr3r2pn1ppppp62p53RPP22P1B3P1P1K1PP3R4
11493,35,white,R4d3,2kr3r2pn1ppppp62p54PP22PRB3P1P1K1PP3R4
11494,36,black,Nb8,1nkr3r2p2ppppp62p54PP22PRB3P1P1K1PP3R4
11495,37,white,Kf3,1nkr3r2p2ppppp62p54PP22PRBK2P1P3PP3R4
11496,38,black,Rde8,1nk1r2r2p2ppppp62p54PP22PRBK2P1P3PP3R4
11497,39,white,f5,1nk1r2r2p2ppppp62p2P24P32PRBK2P1P3PP3R4
11498,40,black,f6,1nk1r2r2p3pppp3p22p2P24P32PRBK2P1P3PP3R4
11499,41,white,g4,1nk1r2r2p3pppp3p22p2P24P1P12PRBK2P1P4P3R4
11500,42,black,Re7,1nk4r2p1r1pppp3p22p2P24P1P12PRBK2P1P4P3R4
11501,43,white,Bf4,1nk4r2p1r1pppp3p22p2P24PBP12PR1K2P1P4P3R4
11502,44,black,Rhe8,1nk1r32p1r1pppp3p22p2P24PBP12PR1K2P1P4P3R4
11503,45,white,Re3,1nk1r32p1r1pppp3p22p2P24PBP12P1RK2P1P4P3R4
11504,46,black,Nc6,2k1r32p1r1ppppn2p22p2P24PBP12P1RK2P1P4P3R4
11505,47,white,g5,2k1r32p1r1ppppn2p22p2PP14PB22P1RK2P1P4P3R4
11506,48,black,Na5,2k1r32p1r1pppp3p2n1p2PP14PB22P1RK2P1P4P3R4
11507,49,white,h4,2k1r32p1r1pppp3p2n1p2PP14PB1P2P1RK2P1P53R4
11508,50,black,Nc4,2k1r32p1r1pppp3p22p2PP12n1PB1P2P1RK2P1P53R4
11509,51,white,Re2,2k1r32p1r1pppp3p22p2PP12n1PB1P2P2K2P1P1R33R4
11510,52,black,Rf7,2k1r32p2rpppp3p22p2PP12n1PB1P2P2K2P1P1R33R4
11511,53,white,Rg1,2k1r32p2rpppp3p22p2PP12n1PB1P2P2K2P1P1R36R1
11512,54,black,Kd7,4r32pk1rpppp3p22p2PP12n1PB1P2P2K2P1P1R36R1
11513,55,white,h5,4r32pk1rpppp3p22p2PPP2n1PB22P2K2P1P1R36R1
11514,56,black,Nd6,4r32pk1rpppp1n1p22p2PPP4PB22P2K2P1P1R36R1
11515,57,white,h6,4r32pk1rpppp1n1p1P2p2PP14PB22P2K2P1P1R36R1
11516,58,black,fxg5,4r32pk1rpppp1n3P2p2Pp14PB22P2K2P1P1R36R1
11517,59,white,Rxg5,4r32pk1rpppp1n3P2p2PR14PB22P2K2P1P1R38
11518,60,black,g6,4r32pk1r1ppp1n2pP2p2PR14PB22P2K2P1P1R38
11519,61,white,fxg6,4r32pk1r1ppp1n2PP2p3R14PB22P2K2P1P1R38
11520,62,black,hxg6,4r32pk1r2pp1n2pP2p3R14PB22P2K2P1P1R38
11521,63,white,Rxg6,4r32pk1r2pp1n2RP2p54PB22P2K2P1P1R38
11522,64,black,Ref8,5r22pk1r2pp1n2RP2p54PB22P2K2P1P1R38
11523,65,white,Rg7,5r22pk1rR1pp1n3P2p54PB22P2K2P1P1R38
11524,66,black,Rxg7,5r22pk2r1pp1n3P2p54PB22P2K2P1P1R38
11525,67,white,hxg7,5r22pk2P1pp1n42p54PB22P2K2P1P1R38
11526,68,black,Rg8,6r12pk2P1pp1n42p54PB22P2K2P1P1R38
11527,69,white,Rg2,6r12pk2P1pp1n42p54PB22P2K2P1P3R18
11528,70,black,Ne8,4n1r12pk2P1pp62p54PB22P2K2P1P3R18
11529,71,white,Be5,4n1r12pk2P1pp62p1B34P32P2K2P1P3R18
11530,72,black,Ke6,4n1r12p3P1pp2k32p1B34P32P2K2P1P3R18
11531,73,white,Kf4,4n1r12p3P1pp2k32p1B34PK22P5P1P3R18
11532,74,black,Kf7,4n1r12p2kP1pp62p1B34PK22P5P1P3R18
11533,75,white,Kf5,4n1r12p2kP1pp62p1BK24P32P5P1P3R18
11534,1,white,e4,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR
11535,2,black,e5,rnbqkbnrpppp1ppp84p34P38PPPP1PPPRNBQKBNR
11536,3,white,Nf3,rnbqkbnrpppp1ppp84p34P35N2PPPP1PPPRNBQKB1R
11537,4,black,Nc6,r1bqkbnrpppp1ppp2n54p34P35N2PPPP1PPPRNBQKB1R
11538,5,white,Nc3,r1bqkbnrpppp1ppp2n54p34P32N2N2PPPP1PPPR1BQKB1R
11539,6,black,Nf6,r1bqkb1rpppp1ppp2n2n24p34P32N2N2PPPP1PPPR1BQKB1R
11540,7,white,Bb5,r1bqkb1rpppp1ppp2n2n21B2p34P32N2N2PPPP1PPPR1BQK2R
11541,8,black,Bb4,r1bqk2rpppp1ppp2n2n21B2p31b2P32N2N2PPPP1PPPR1BQK2R
11542,9,white,O-O,r1bqk2rpppp1ppp2n2n21B2p31b2P32N2N2PPPP1PPPR1BQ1RK1
11543,10,black,O-O,r1bq1rk1pppp1ppp2n2n21B2p31b2P32N2N2PPPP1PPPR1BQ1RK1
11544,11,white,d3,r1bq1rk1pppp1ppp2n2n21B2p31b2P32NP1N2PPP2PPPR1BQ1RK1
11545,12,black,d6,r1bq1rk1ppp2ppp2np1n21B2p31b2P32NP1N2PPP2PPPR1BQ1RK1
11546,13,white,Bg5,r1bq1rk1ppp2ppp2np1n21B2p1B11b2P32NP1N2PPP2PPPR2Q1RK1
11547,14,black,Bxc3,r1bq1rk1ppp2ppp2np1n21B2p1B14P32bP1N2PPP2PPPR2Q1RK1
11548,15,white,bxc3,r1bq1rk1ppp2ppp2np1n21B2p1B14P32PP1N2P1P2PPPR2Q1RK1
11549,16,black,Ne7,r1bq1rk1ppp1nppp3p1n21B2p1B14P32PP1N2P1P2PPPR2Q1RK1
11550,17,white,Bc4,r1bq1rk1ppp1nppp3p1n24p1B12B1P32PP1N2P1P2PPPR2Q1RK1
11551,18,black,Ng6,r1bq1rk1ppp2ppp3p1nn14p1B12B1P32PP1N2P1P2PPPR2Q1RK1
11552,19,white,Nh4,r1bq1rk1ppp2ppp3p1nn14p1B12B1P2N2PP4P1P2PPPR2Q1RK1
11553,20,black,Nf4,r1bq1rk1ppp2ppp3p1n24p1B12B1Pn1N2PP4P1P2PPPR2Q1RK1
11554,21,white,Bxf4,r1bq1rk1ppp2ppp3p1n24p32B1PB1N2PP4P1P2PPPR2Q1RK1
11555,22,black,exf4,r1bq1rk1ppp2ppp3p1n282B1Pp1N2PP4P1P2PPPR2Q1RK1
11556,23,white,Nf3,r1bq1rk1ppp2ppp3p1n282B1Pp22PP1N2P1P2PPPR2Q1RK1
11557,24,black,Bg4,r2q1rk1ppp2ppp3p1n282B1Ppb12PP1N2P1P2PPPR2Q1RK1
11558,25,white,Qd2,r2q1rk1ppp2ppp3p1n282B1Ppb12PP1N2P1PQ1PPPR4RK1
11559,26,black,Bxf3,r2q1rk1ppp2ppp3p1n282B1Pp22PP1b2P1PQ1PPPR4RK1
11560,27,white,gxf3,r2q1rk1ppp2ppp3p1n282B1Pp22PP1P2P1PQ1P1PR4RK1
11561,28,black,Nh5,r2q1rk1ppp2ppp3p47n2B1Pp22PP1P2P1PQ1P1PR4RK1
11562,29,white,Kh1,r2q1rk1ppp2ppp3p47n2B1Pp22PP1P2P1PQ1P1PR4R1K
11563,30,black,Kh8,r2q1r1kppp2ppp3p47n2B1Pp22PP1P2P1PQ1P1PR4R1K
11564,31,white,Rg1,r2q1r1kppp2ppp3p47n2B1Pp22PP1P2P1PQ1P1PR5RK
11565,32,black,Qd7,r4r1kpppq1ppp3p47n2B1Pp22PP1P2P1PQ1P1PR5RK
11566,33,white,Rg4,r4r1kpppq1ppp3p47n2B1PpR12PP1P2P1PQ1P1PR6K
11567,34,black,Rae8,4rr1kpppq1ppp3p47n2B1PpR12PP1P2P1PQ1P1PR6K
11568,35,white,Rag1,4rr1kpppq1ppp3p47n2B1PpR12PP1P2P1PQ1P1P6RK
11569,36,black,f5,4rr1kpppq2pp3p45p1n2B1PpR12PP1P2P1PQ1P1P6RK
11570,37,white,Rg5,4rr1kpppq2pp3p45pRn2B1Pp22PP1P2P1PQ1P1P6RK
11571,38,black,g6,4rr1kpppq3p3p2p15pRn2B1Pp22PP1P2P1PQ1P1P6RK
11572,39,white,Qc1,4rr1kpppq3p3p2p15pRn2B1Pp22PP1P2P1P2P1P2Q3RK
11573,40,black,c6,4rr1kpp1q3p2pp2p15pRn2B1Pp22PP1P2P1P2P1P2Q3RK
11574,41,white,Qf1,4rr1kpp1q3p2pp2p15pRn2B1Pp22PP1P2P1P2P1P5QRK
11575,42,black,d5,4rr1kpp1q3p2p3p13p1pRn2B1Pp22PP1P2P1P2P1P5QRK
11576,43,white,exd5,4rr1kpp1q3p2p3p13P1pRn2B2p22PP1P2P1P2P1P5QRK
11577,44,black,cxd5,4rr1kpp1q3p6p13p1pRn2B2p22PP1P2P1P2P1P5QRK
11578,45,white,Bb3,4rr1kpp1q3p6p13p1pRn5p21BPP1P2P1P2P1P5QRK
11579,46,black,Qc6,4rr1kpp5p2q3p13p1pRn5p21BPP1P2P1P2P1P5QRK
11580,47,white,Qg2,4rr1kpp5p2q3p13p1pRn5p21BPP1P2P1P2PQP6RK
11581,48,black,Qf6,4rr1kpp5p5qp13p1pRn5p21BPP1P2P1P2PQP6RK
11582,49,white,Rxh5,4rr1kpp5p5qp13p1p1R5p21BPP1P2P1P2PQP6RK
11583,50,black,gxh5,4rr1kpp5p5q23p1p1p5p21BPP1P2P1P2PQP6RK
11584,51,white,Bxd5,4rr1kpp5p5q23B1p1p5p22PP1P2P1P2PQP6RK
11585,52,black,Qxc3,4rr1kpp5p83B1p1p5p22qP1P2P1P2PQP6RK
11586,53,white,Qg5,4rr1kpp5p83B1pQp5p22qP1P2P1P2P1P6RK
11587,54,black,Re1,5r1kpp5p83B1pQp5p22qP1P2P1P2P1P4r1RK
11588,55,white,Qxf4,5r1kpp5p83B1p1p5Q22qP1P2P1P2P1P4r1RK
11589,56,black,b6,5r1kp6p1p63B1p1p5Q22qP1P2P1P2P1P4r1RK
11590,57,white,Rxe1,5r1kp6p1p63B1p1p5Q22qP1P2P1P2P1P4R2K
11591,58,black,Qxe1+,5r1kp6p1p63B1p1p5Q23P1P2P1P2P1P4q2K
11592,59,white,Kg2,5r1kp6p1p63B1p1p5Q23P1P2P1P2PKP4q3
11593,60,black,Qe7,5r1kp3q2p1p63B1p1p5Q23P1P2P1P2PKP8
11594,61,white,Bb3,5r1kp3q2p1p65p1p5Q21B1P1P2P1P2PKP8
11595,62,black,Rf6,7kp3q2p1p3r25p1p5Q21B1P1P2P1P2PKP8
11596,63,white,Kf1,7kp3q2p1p3r25p1p5Q21B1P1P2P1P2P1P5K2
11597,64,black,Qd6,7kp6p1p1q1r25p1p5Q21B1P1P2P1P2P1P5K2
11598,65,white,Qc4,7kp6p1p1q1r25p1p2Q51B1P1P2P1P2P1P5K2
11599,66,black,Kg7,8p5kp1p1q1r25p1p2Q51B1P1P2P1P2P1P5K2
11600,67,white,f4,8p5kp1p1q1r25p1p2Q2P21B1P4P1P2P1P5K2
11601,68,black,Qd8,3q4p5kp1p3r25p1p2Q2P21B1P4P1P2P1P5K2
11602,69,white,Qc3,3q4p5kp1p3r25p1p5P21BQP4P1P2P1P5K2
11603,70,black,b5,3q4p5kp5r21p3p1p5P21BQP4P1P2P1P5K2
11604,71,white,Qe5,3q4p5kp5r21p2Qp1p5P21B1P4P1P2P1P5K2
11605,72,black,Qd7,8p2q2kp5r21p2Qp1p5P21B1P4P1P2P1P5K2
11606,73,white,Ke2,8p2q2kp5r21p2Qp1p5P21B1P4P1P1KP1P8
11607,74,black,Kg6,8p2q3p5rk11p2Qp1p5P21B1P4P1P1KP1P8
11608,75,white,Kd2,8p2q3p5rk11p2Qp1p5P21B1P4P1PK1P1P8
11609,76,black,Rf8,5r2p2q3p6k11p2Qp1p5P21B1P4P1PK1P1P8
11610,77,white,Be6,5r2p2q3p4B1k11p2Qp1p5P23P4P1PK1P1P8
11611,78,black,Qc6,5r2p6p2q1B1k11p2Qp1p5P23P4P1PK1P1P8
11612,79,white,Qe3,5r2p6p2q1B1k11p3p1p5P23PQ3P1PK1P1P8
11613,80,black,Re8,4r3p6p2q1B1k11p3p1p5P23PQ3P1PK1P1P8
11614,81,white,Qg3+,4r3p6p2q1B1k11p3p1p5P23P2Q1P1PK1P1P8
11615,82,black,Kf6,4r3p6p2q1Bk21p3p1p5P23P2Q1P1PK1P1P8
11616,83,white,Bb3,4r3p6p2q2k21p3p1p5P21B1P2Q1P1PK1P1P8
11617,84,black,h6,4r3p72q2k1p1p3p1p5P21B1P2Q1P1PK1P1P8
11618,85,white,c3,4r3p72q2k1p1p3p1p5P21BPP2Q1P2K1P1P8
11619,86,black,Qh1,4r3p75k1p1p3p1p5P21BPP2Q1P2K1P1P7q
11620,87,white,Bd1,4r3p75k1p1p3p1p5P22PP2Q1P2K1P1P3B3q
11621,88,black,Qe1+,4r3p75k1p1p3p1p5P22PP2Q1P2K1P1P3Bq3
11622,89,white,Kc2,4r3p75k1p1p3p1p5P22PP2Q1P1K2P1P3Bq3
11623,90,black,Rc8,2r5p75k1p1p3p1p5P22PP2Q1P1K2P1P3Bq3
11624,91,white,c4,2r5p75k1p1p3p1p2P2P23P2Q1P1K2P1P3Bq3
11625,92,black,bxc4,2r5p75k1p5p1p2p2P23P2Q1P1K2P1P3Bq3
11626,93,white,d4,2r5p75k1p5p1p2pP1P26Q1P1K2P1P3Bq3
11627,94,black,c3,2r5p75k1p5p1p3P1P22p3Q1P1K2P1P3Bq3
11628,95,white,Qe3,2r5p75k1p5p1p3P1P22p1Q3P1K2P1P3Bq3
11629,96,black,Re8,4r3p75k1p5p1p3P1P22p1Q3P1K2P1P3Bq3
11630,97,white,Qxc3,4r3p75k1p5p1p3P1P22Q5P1K2P1P3Bq3
11631,98,black,Qxc3+,4r3p75k1p5p1p3P1P22q5P1K2P1P3B4
11632,99,white,Kxc3,4r3p75k1p5p1p3P1P22K5P4P1P3B4
11633,100,black,Re4,8p75k1p5p1p3PrP22K5P4P1P3B4
11634,1,white,e4,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR
11635,2,black,e5,rnbqkbnrpppp1ppp84p34P38PPPP1PPPRNBQKBNR
11636,3,white,Nf3,rnbqkbnrpppp1ppp84p34P35N2PPPP1PPPRNBQKB1R
11637,4,black,Nc6,r1bqkbnrpppp1ppp2n54p34P35N2PPPP1PPPRNBQKB1R
11638,5,white,Bb5,r1bqkbnrpppp1ppp2n51B2p34P35N2PPPP1PPPRNBQK2R
11639,6,black,a6,r1bqkbnr1ppp1pppp1n51B2p34P35N2PPPP1PPPRNBQK2R
11640,7,white,Bxc6,r1bqkbnr1ppp1pppp1B54p34P35N2PPPP1PPPRNBQK2R
11641,8,black,dxc6,r1bqkbnr1pp2pppp1p54p34P35N2PPPP1PPPRNBQK2R
11642,9,white,d4,r1bqkbnr1pp2pppp1p54p33PP35N2PPP2PPPRNBQK2R
11643,10,black,exd4,r1bqkbnr1pp2pppp1p583pP35N2PPP2PPPRNBQK2R
11644,11,white,Qxd4,r1bqkbnr1pp2pppp1p583QP35N2PPP2PPPRNB1K2R
11645,12,black,Bg4,r2qkbnr1pp2pppp1p583QP1b15N2PPP2PPPRNB1K2R
11646,13,white,Nc3,r2qkbnr1pp2pppp1p583QP1b12N2N2PPP2PPPR1B1K2R
11647,14,black,Qxd4,r3kbnr1pp2pppp1p583qP1b12N2N2PPP2PPPR1B1K2R
11648,15,white,Nxd4,r3kbnr1pp2pppp1p583NP1b12N5PPP2PPPR1B1K2R
11649,16,black,O-O-O,2kr1bnr1pp2pppp1p583NP1b12N5PPP2PPPR1B1K2R
11650,17,white,Nde2,2kr1bnr1pp2pppp1p584P1b12N5PPP1NPPPR1B1K2R
11651,18,black,Bc5,2kr2nr1pp2pppp1p52b54P1b12N5PPP1NPPPR1B1K2R
11652,19,white,f3,2kr2nr1pp2pppp1p52b54P1b12N2P2PPP1N1PPR1B1K2R
11653,20,black,Be6,2kr2nr1pp2pppp1p1b32b54P32N2P2PPP1N1PPR1B1K2R
11654,21,white,Bd2,2kr2nr1pp2pppp1p1b32b54P32N2P2PPPBN1PPR3K2R
11655,22,black,Ne7,2kr3r1pp1npppp1p1b32b54P32N2P2PPPBN1PPR3K2R
11656,23,white,O-O-O,2kr3r1pp1npppp1p1b32b54P32N2P2PPPBN1PP2KR3R
11657,24,black,f6,2kr3r1pp1n1ppp1p1bp22b54P32N2P2PPPBN1PP2KR3R
11658,25,white,Nf4,2kr3r1pp1n1ppp1p1bp22b54PN22N2P2PPPB2PP2KR3R
11659,26,black,Bc4,2kr3r1pp1n1ppp1p2p22b52b1PN22N2P2PPPB2PP2KR3R
11660,27,white,b3,2kr3r1pp1n1ppp1p2p22b52b1PN21PN2P2P1PB2PP2KR3R
11661,28,black,Bf7,2kr3r1pp1nbppp1p2p22b54PN21PN2P2P1PB2PP2KR3R
11662,29,white,Nd3,2kr3r1pp1nbppp1p2p22b54P31PNN1P2P1PB2PP2KR3R
11663,30,black,Bd6,2kr3r1pp1nbppp1pb1p284P31PNN1P2P1PB2PP2KR3R
11664,31,white,Bf4,2kr3r1pp1nbppp1pb1p284PB21PNN1P2P1P3PP2KR3R
11665,32,black,Ba3+,2kr3r1pp1nbppp1p2p284PB2bPNN1P2P1P3PP2KR3R
11666,33,white,Kb1,2kr3r1pp1nbppp1p2p284PB2bPNN1P2P1P3PP1K1R3R
11667,34,black,Ng6,2kr3r1pp2bppp1p2pn184PB2bPNN1P2P1P3PP1K1R3R
11668,35,white,Bc1,2kr3r1pp2bppp1p2pn184P3bPNN1P2P1P3PP1KBR3R
11669,36,black,Bd6,2kr3r1pp2bppp1pb1pn184P31PNN1P2P1P3PP1KBR3R
11670,37,white,g3,2kr3r1pp2bppp1pb1pn184P31PNN1PP1P1P4P1KBR3R
11671,38,black,c5,2kr3r1pp2bppp2b1pn12p54P31PNN1PP1P1P4P1KBR3R
11672,39,white,Nd5,2kr3r1pp2bppp2b1pn12pN44P31P1N1PP1P1P4P1KBR3R
11673,40,black,Rhe8,2krr31pp2bppp2b1pn12pN44P31P1N1PP1P1P4P1KBR3R
11674,41,white,Bb2,2krr31pp2bppp2b1pn12pN44P31P1N1PP1PBP4P1K1R3R
11675,42,black,Bxd5,2krr31pp3ppp2b1pn12pb44P31P1N1PP1PBP4P1K1R3R
11676,43,white,exd5,2krr31pp3ppp2b1pn12pP481P1N1PP1PBP4P1K1R3R
11677,44,black,Re2,2kr41pp3ppp2b1pn12pP481P1N1PP1PBP1r2P1K1R3R
11678,45,white,Rde1,2kr41pp3ppp2b1pn12pP481P1N1PP1PBP1r2P1K2R2R
11679,46,black,Rde8,2k1r31pp3ppp2b1pn12pP481P1N1PP1PBP1r2P1K2R2R
11680,47,white,Kc1,2k1r31pp3ppp2b1pn12pP481P1N1PP1PBP1r2P2K1R2R
11681,48,black,Kd7,4r31ppk2ppp2b1pn12pP481P1N1PP1PBP1r2P2K1R2R
11682,49,white,Rxe2,4r31ppk2ppp2b1pn12pP481P1N1PP1PBP1R2P2K4R
11683,50,black,Rxe2,81ppk2ppp2b1pn12pP481P1N1PP1PBP1r2P2K4R
11684,51,white,Kd1,81ppk2ppp2b1pn12pP481P1N1PP1PBP1r2P3K3R
11685,52,black,Re6,81ppk2ppp2brpn12pP481P1N1PP1PBP4P3K3R
11686,53,white,Rf1,81ppk2ppp2brpn12pP481P1N1PP1PBP4P3K1R2
11687,54,black,b5,82pk2ppp2brpn11ppP481P1N1PP1PBP4P3K1R2
11688,55,white,Kd2,82pk2ppp2brpn11ppP481P1N1PP1PBPK3P5R2
11689,56,black,Re8,4r32pk2ppp2b1pn11ppP481P1N1PP1PBPK3P5R2
11690,57,white,c4,4r32pk2ppp2b1pn11ppP42P51P1N1PP1PB1K3P5R2
11691,58,black,c6,4r33k2ppp1pb1pn11ppP42P51P1N1PP1PB1K3P5R2
11692,59,white,Rc1,4r33k2ppp1pb1pn11ppP42P51P1N1PP1PB1K3P2R5
11693,60,black,b4,4r33k2ppp1pb1pn12pP41pP51P1N1PP1PB1K3P2R5
11694,61,white,dxc6+,4r33k2ppp1Pb1pn12p51pP51P1N1PP1PB1K3P2R5
11695,62,black,Kxc6,4r36ppp1kb1pn12p51pP51P1N1PP1PB1K3P2R5
11696,63,white,Re1,4r36ppp1kb1pn12p51pP51P1N1PP1PB1K3P4R3
11697,64,black,Ra8,r76ppp1kb1pn12p51pP51P1N1PP1PB1K3P4R3
11698,65,white,Ra1,r76ppp1kb1pn12p51pP51P1N1PP1PB1K3PR7
11699,66,black,Rd8,3r46ppp1kb1pn12p51pP51P1N1PP1PB1K3PR7
11700,67,white,Ke2,3r46ppp1kb1pn12p51pP51P1N1PP1PB2K2PR7
11701,68,black,a5,3r46pp2kb1pn1p1p51pP51P1N1PP1PB2K2PR7
11702,69,white,a3,3r46pp2kb1pn1p1p51pP5PP1N1PP11B2K2PR7
11703,70,black,Bc7,3r42b3pp2k2pn1p1p51pP5PP1N1PP11B2K2PR7
11704,71,white,a4,3r42b3pp2k2pn1p1p5PpP51P1N1PP11B2K2PR7
11705,72,black,h5,3r42b3p12k2pn1p1p4pPpP51P1N1PP11B2K2PR7
11706,73,white,Rd1,3r42b3p12k2pn1p1p4pPpP51P1N1PP11B2K2P3R4
11707,74,black,h4,3r42b3p12k2pn1p1p5PpP4p1P1N1PP11B2K2P3R4
11708,75,white,f4,3r42b3p12k2pn1p1p5PpP2P1p1P1N2P11B2K2P3R4
11709,76,black,hxg3,3r42b3p12k2pn1p1p5PpP2P21P1N2p11B2K2P3R4
11710,77,white,hxg3,3r42b3p12k2pn1p1p5PpP2P21P1N2P11B2K33R4
11711,78,black,Rh8,7r2b3p12k2pn1p1p5PpP2P21P1N2P11B2K33R4
11712,79,white,Nf2,7r2b3p12k2pn1p1p5PpP2P21P4P11B2KN23R4
